xmin,ymin,xmax,ymax,%water,%builtup,%greencover,%others
77.06089453,28.559555,77.06599713,28.564005,0,0,0,1
77.07109974,28.559555,77.07620235,28.564005,0,0.034008,0.10788,0.858112
77.06599713,28.559555,77.07109974,28.564005,0,0,0.267264,0.732736
77.07620235,28.559555,77.08130496,28.564005,0,0,0.340708,0.659292
77.08130496,28.559555,77.08640757,28.564005,0,0,0,1
77.08640757,28.559555,77.09151017,28.564005,0,0,0.030552,0.969448
77.09151017,28.559555,77.09661278,28.564005,0,0,0.339188,0.660812
77.09661278,28.559555,77.10171539,28.564005,0,0,0.1033,0.8967
77.10171539,28.559555,77.106818,28.564005,0,0,0.12232,0.87768
77.106818,28.559555,77.11192061,28.564005,0,0,0.002328,0.997672
77.11192061,28.559555,77.11702321,28.564005,0,0,0.07778,0.92222
77.11702321,28.559555,77.12212582,28.564005,0,0,0.127488,0.872512
77.12212582,28.559555,77.12722843,28.564005,0,0,0.362116,0.637884
77.12722843,28.559555,77.13233104,28.564005,0,0.013648,0.264868,0.721484
77.13233104,28.559555,77.13743364,28.564005,0,0,0.21512,0.78488
77.13743364,28.559555,77.14253625,28.564005,0,0,0.302124,0.697876
77.14253625,28.559555,77.14763886,28.564005,0,0.145304,0.558752,0.295944
77.14763886,28.559555,77.15274147,28.564005,0,0.027812,0.662312,0.309876
77.15274147,28.559555,77.15784408,28.564005,0,0.039796,0.024264,0.93594
77.15784408,28.559555,77.16294668,28.564005,0,0.57466,0.041036,0.384304
77.16294668,28.559555,77.16804929,28.564005,0,0.298164,0.21262,0.489216
77.16804929,28.559555,77.1731519,28.564005,0,0,0.103252,0.896748
77.1731519,28.559555,77.17825451,28.564005,0,0,0.159108,0.840892
77.17825451,28.559555,77.18335711,28.564005,0,0.007588,0,0.992412
77.18335711,28.559555,77.18845972,28.564005,0,0,0.076592,0.923408
77.18845972,28.559555,77.19356233,28.564005,0,0.178116,0.058808,0.763076
77.19356233,28.559555,77.19866494,28.564005,0,0.566744,0.065392,0.367864
77.19866494,28.559555,77.20376755,28.564005,0,0.476012,0.132904,0.391084
77.20376755,28.559555,77.20887015,28.564005,0,0.544808,0.012036,0.443156
77.20887015,28.559555,77.21397276,28.564005,0,0.47734,0,0.52266
77.21397276,28.559555,77.21907537,28.564005,0,0.330372,0.046012,0.623616
77.21907537,28.559555,77.22417798,28.564005,0,0.060116,0.186152,0.753732
77.22417798,28.559555,77.22928058,28.564005,0,0.018736,0,0.981264
77.22928058,28.559555,77.23438319,28.564005,0,0.087608,0,0.912392
77.23438319,28.559555,77.2394858,28.564005,0,0.25854,0,0.74146
77.2394858,28.559555,77.24458841,28.564005,0,0.5145,0.04742,0.43808
77.24458841,28.559555,77.24969102,28.564005,0,0.570084,0.028628,0.401288
77.24969102,28.559555,77.25479362,28.564005,0,0.216012,0.12866,0.655328
77.25479362,28.559555,77.25989623,28.564005,0,0,0.132792,0.867208
77.25989623,28.559555,77.26499884,28.564005,0,0.1441,0.036196,0.819704
77.26499884,28.559555,77.27010145,28.564005,0,0.044692,0.082652,0.872656
77.27010145,28.559555,77.27520405,28.564005,0,0,0.05344,0.94656
77.27520405,28.559555,77.28030666,28.564005,0,0,0.153584,0.846416
77.28030666,28.559555,77.28540927,28.564005,0,0,0.379152,0.620848
77.28540927,28.559555,77.29051188,28.564005,0,0,0.480184,0.519816
77.29051188,28.559555,77.29561449,28.564005,0,0.177248,0.411272,0.41148
77.29561449,28.559555,77.30071709,28.564005,0,0,0,1
77.30071709,28.559555,77.3058197,28.564005,0,0,0.486584,0.513416
77.3058197,28.559555,77.31092231,28.564005,0,0,0,1
77.31092231,28.559555,77.31602492,28.564005,0,0,0.126944,0.873056
77.31602492,28.559555,77.32112752,28.564005,0,0.026132,0.043488,0.93038
77.32112752,28.559555,77.32623013,28.564005,0,0.04076,0.027412,0.931828
77.32623013,28.559555,77.33133274,28.564005,0,0,0.812576,0.187424
