xmin,ymin,xmax,ymax,olx_houses,olx_offices,gp_groceries,gp_shops_restaurants,gp_tansport
77.28540927,28.559555,77.29051188,28.564004999999998,101,0,14,31,2
77.29051188,28.559555,77.29561449,28.564004999999998,23,0,11,16,5
77.29561449,28.559555,77.30071709,28.564004999999998,0,0,0,0,0
77.30071709,28.559555,77.3058197,28.564004999999998,0,0,0,0,0
77.3058197,28.559555,77.31092231,28.564004999999998,0,0,0,0,0
77.31092231,28.559555,77.31602492,28.564004999999998,5,0,0,0,0
77.31602492,28.559555,77.32112752,28.564004999999998,0,0,0,0,0
77.32112752,28.559555,77.32623013,28.564004999999998,2,0,0,0,1
77.32623013,28.559555,77.33133274,28.564004999999998,0,0,0,1,0
77.33133274,28.559555,77.33643535,28.564004999999998,0,0,1,2,4
77.33643535,28.559555,77.34153796,28.564004999999998,31,0,13,4,6
